Kalshi_Event,PredictIt_Event,Similarity_Score,Timeframes_Match,Entities_Match,Kalshi_Timeframes,PredictIt_Timeframes,Kalshi_Entities,PredictIt_Entities,kalshi_yes,kalshi_no,predictit_yes,predictit_no,arb1,arb2
Who will win the governorship in Alaska? In 2026 - Bernadette Wilson,Who will win the 2026 gubernatorial election in Alaska? - Bernadette Wilson,91.17647058823529,True,True,"['2026', '2027']",['2026'],"['Alaska', 'Governorship', 'Win', 'Bernadette Wilson', 'Governor', '2026']","['Alaska', 'Gubernatorial', 'Win', 'Bernadette Wilson', '2026']",15,89,32.0,73.0,-21.0,12.0
Who will win the governorship in Michigan? In 2026 - Democratic party,Which party will win the 2026 gubernatorial election in Michigan? - Democratic,88.57142857142857,True,True,"['2026', '2027']",['2026'],"['Democratic', 'Governorship', 'Win', 'Governor', 'Michigan', '2026']","['Democratic', 'Gubernatorial', 'Win', 'Michigan', '2026']",55,46,71.0,33.0,-17.0,12.0
Who will win the governorship in Michigan? In 2026 - Republican party,Which party will win the 2026 gubernatorial election in Michigan? - Republican,88.57142857142857,True,True,"['2026', '2027']",['2026'],"['Republican', 'Governorship', 'Win', 'Governor', 'Michigan', '2026']","['Republican', 'Gubernatorial', 'Win', 'Michigan', '2026']",23,78,32.0,72.0,-10.0,5.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Maine? - Republican,85.92592592592592,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Republican', 'Win', 'Maine', '2026']",73,28,41.0,64.0,31.0,-37.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Maine? - Democratic,85.92592592592592,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Win', 'Maine', '2026']",28,73,66.0,35.0,-39.0,37.0
Who will be the Democratic nominee for Senate in Illinois? In 2026 - Raja Krishnamoorthi,Who will win the 2026 Illinois Democratic Senate nomination? - Raja Krishnamoorthi,85.36585365853658,True,True,['2026'],['2026'],"['Raja Krishnamoorthi', 'Democratic', '2026', 'Illinois']","['Democratic', 'Illinois', 'Raja Krishnamoorthi', 'Win', 'Illinois Democratic Senate', '2026']",55,50,83.0,36.0,-33.0,9.0
Who will be the Democratic nominee for Senate in Illinois? In 2026 - Juliana Stratton,Who will win the 2026 Illinois Democratic Senate nomination? - Juliana Stratton,84.81012658227847,True,True,['2026'],['2026'],"['Illinois', 'Democratic', '2026', 'Juliana Stratton']","['Democratic', 'Illinois', 'Win', 'Illinois Democratic Senate', 'Juliana Stratton', '2026']",47,58,32.0,82.0,10.0,-29.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Michigan? - Democratic,84.05797101449275,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Win', 'Michigan', '2026']",28,73,78.0,28.999999999999996,-51.0,43.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Michigan? - Republican,84.05797101449275,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Republican', 'Win', 'Michigan', '2026']",73,28,26.0,76.0,46.0,-49.0
Who will win the governorship in California? In 2026 - Democratic,Who will win the 2026 gubernatorial election in California? - Ché Ahn,83.46456692913385,True,True,"['2026', '2027']",['2026'],"['California', 'Democratic', 'Governorship', 'Win', 'Governor', '2026']","['California', '2026', 'Gubernatorial', 'Win']",92,11,2.0,99.0,87.0,-91.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Minnesota? - Democratic,83.45323741007195,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Minnesota', 'Win', '2026']",28,73,91.0,11.0,-64.0,61.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Minnesota? - Republican,83.45323741007195,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Republican', 'Minnesota', 'Win', '2026']",73,28,14.000000000000002,87.0,58.0,-60.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Texas? - Republican,82.96296296296296,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Texas', 'Republican', 'Win', '2026']",73,28,80.0,22.0,-8.0,5.0
Who will win the Senate race in Georgia? In 2026 - Republican party,Which party will win the 2026 US Senate election in Georgia? - Republican,82.08955223880598,True,True,"['2026', '2027']",['2026'],"['Win', 'Georgia', '2026', 'Republican']","['US', 'Republican', 'Win', 'Georgia', '2026']",27,75,33.0,68.0,-8.0,5.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Florida? - Democratic,81.75182481751825,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Florida', 'Win', '2026']",28,73,15.0,87.0,12.0,-15.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Georgia? - Democratic,81.75182481751825,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Win', 'Georgia', '2026']",28,73,71.0,31.0,-44.0,41.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Georgia? - Republican,81.75182481751825,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Republican', 'Win', 'Georgia', '2026']",73,28,33.0,68.0,39.0,-41.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Florida? - Republican,81.75182481751825,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Florida', 'Republican', 'Win', '2026']",73,28,88.0,15.0,-16.0,12.0
Which party will win the U.S. Senate in 2026? In 2026 - Democratic Party,Which party will win the 2026 US Senate election in Virginia? - Democratic,81.15942028985508,True,True,"['2026', '2027']",['2026'],"['Win', 'Democratic', '2026', 'Democratic Party']","['Democratic', 'US', 'Win', 'Virginia', '2026']",28,73,93.0,9.0,-66.0,63.0
Which party will win the U.S. Senate in 2026? In 2026 - Republican Party,Which party will win the 2026 US Senate election in Virginia? - Republican,81.15942028985508,True,True,"['2026', '2027']",['2026'],"['Win', '2026', 'Republican Party', 'Republican']","['US', 'Republican', 'Win', 'Virginia', '2026']",73,28,11.0,91.0,61.0,-64.0
Who will win the governorship in Wisconsin? In 2026 - Democratic party,Which party will win the 2026 gubernatorial election in Wisconsin? - Republican,80.28169014084507,True,True,"['2026', '2027']",['2026'],"['Democratic', 'Wisconsin', 'Win', 'Governorship', 'Governor', '2026']","['Republican', 'Gubernatorial', 'Win', 'Wisconsin', '2026']",70,40,39.0,63.0,21.0,-33.0
Who will win the governorship in Michigan? In 2026 - Democratic party,Which party will win the 2026 gubernatorial election in Michigan? - Republican,80.0,True,True,"['2026', '2027']",['2026'],"['Democratic', 'Governorship', 'Win', 'Governor', 'Michigan', '2026']","['Republican', 'Gubernatorial', 'Win', 'Michigan', '2026']",55,46,32.0,72.0,22.0,-27.0
